id,collection_date,transductor_id,generated_energy_peak_time,generated_energy_off_peak_time,consumption_peak_time,consumption_off_peak_time,inductive_power_peak_time,inductive_power_off_peak_time,capacitive_power_peak_time,capacitive_power_off_peak_time,tax_id
27210,2020-11-03 23:15:00,1,0.0,1902.00366210938,0.0,5301.62890625,0.0,3306.9296875,0.0,2889.79516601562,
27211,2020-11-03 23:30:00,1,0.0,1884.57543945312,0.0,5303.65576171875,0.0,3327.89135742188,0.0,2886.80297851562,
27212,2020-11-03 23:45:00,1,0.0,1849.49182128906,0.0,5225.33935546875,0.0,3249.25122070312,0.0,2844.33813476562,
27213,2020-11-04 00:00:00,1,0.0,1894.73815917969,0.0,5260.5703125,0.0,3299.56616210938,0.0,2899.8369140625,
27214,2020-11-04 00:15:00,1,0.0,1895.87683105469,0.0,5203.9482421875,0.0,3241.8564453125,0.0,2923.513671875,
27215,2020-11-04 00:30:00,1,0.0,1937.65661621094,0.0,5270.83447265625,0.0,3268.52172851562,0.0,2910.80590820312,
27216,2020-11-04 01:00:00,1,0.0,1782.69885253906,0.0,4935.57666015625,0.0,3047.36328125,0.0,2729.38500976562,
27217,2020-11-04 01:15:00,1,0.0,1783.02026367188,0.0,4913.53759765625,0.0,3041.71166992188,0.0,2697.83740234375,
27218,2020-11-04 01:30:00,1,0.0,1719.26379394531,0.0,4750.20166015625,0.0,2901.58032226562,0.0,2636.12548828125,
27219,2020-11-04 01:45:00,1,0.0,1714.8603515625,0.0,4683.13623046875,0.0,2881.37084960938,0.0,2585.818359375,
27220,2020-11-04 02:00:00,1,0.0,1704.23156738281,0.0,4682.111328125,0.0,2910.14794921875,0.0,2586.998046875,
27221,2020-11-04 02:30:00,1,0.0,1621.38256835938,0.0,4553.99169921875,0.0,2803.12548828125,0.0,2507.49731445312,
27222,2020-11-04 02:45:00,1,0.0,1623.5703125,0.0,4504.18310546875,0.0,2802.06909179688,0.0,2495.62475585938,
27223,2020-11-04 03:00:00,1,0.0,1687.04077148438,0.0,4572.80859375,0.0,2847.11376953125,0.0,2509.93969726562,
27224,2020-11-04 03:15:00,1,0.0,1687.89331054688,0.0,4570.79443359375,0.0,2840.1982421875,0.0,2492.12353515625,
27225,2020-11-04 03:30:00,1,0.0,1628.42517089844,0.0,4497.58203125,0.0,2799.03759765625,0.0,2480.93896484375,
27226,2020-11-04 03:45:00,1,0.0,1556.7236328125,0.0,4441.384765625,0.0,2732.2392578125,0.0,2451.57397460938,
27227,2020-11-04 04:00:00,1,0.0,1646.86413574219,0.0,4542.18603515625,0.0,2837.3525390625,0.0,2433.96899414062,
27228,2020-11-04 04:15:00,1,0.0,1598.36694335938,0.0,4451.64404296875,0.0,2779.28955078125,0.0,2394.91650390625,
27229,2020-11-04 04:30:00,1,0.0,1598.92687988281,0.0,4419.82568359375,0.0,2765.51684570312,0.0,2385.787109375,
27230,2020-11-04 04:45:00,1,0.0,1585.85778808594,0.0,4436.6513671875,0.0,2780.65844726562,0.0,2386.876953125,
27231,2020-11-04 05:00:00,1,0.0,1577.07934570312,0.0,4431.92822265625,0.0,2806.79711914062,0.0,2393.69848632812,
27232,2020-11-04 05:15:00,1,0.0,1565.96533203125,0.0,4403.48828125,0.0,2793.5859375,0.0,2368.71020507812,
27233,2020-11-04 05:30:00,1,0.0,1578.89294433594,0.0,4439.875,0.0,2790.146484375,0.0,2341.32666015625,
27234,2020-11-04 05:45:00,1,0.0,1559.49438476562,0.0,4412.2841796875,0.0,2689.11401367188,0.0,2335.99926757812,
27235,2020-11-04 06:00:00,1,0.0,1592.17785644531,0.0,4425.93359375,0.0,2730.15649414062,0.0,2365.37768554688,
27236,2020-11-04 06:15:00,1,0.0,1609.7470703125,0.0,4477.73486328125,0.0,2749.45922851562,0.0,2354.8408203125,
27237,2020-11-04 06:30:00,1,0.0,1557.62036132812,0.0,4219.45703125,0.0,2619.56616210938,0.0,2319.76196289062,
